sample_id	contig_id	Prediction_tool	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_count	domain_array	backbone_class
GCF_008033055.1	contig_1	deepBGC	Polyketide	0.51005		890339	891092	753	1	PF00106|PF01370|PF08659|PF13561	Unknown
GCF_001998245.1	contig_20	antiSMASH	Terpene-precursor		No	1	8052	8052	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821405.1	contig_2	deepBGC		0.63616		3645	4431	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_040821405.1	contig_35	deepBGC		0.7316		942	6443	5501	11	PF00871|PF01455|PF01515|PF01924|PF02492|PF07883|PF13500	Unknown
GCF_040821405.1	contig_9	deepBGC		0.55141		19541	20561	1020	1	PF00795	Unknown
GCF_037861715.1	contig_15	deepBGC	RiPP	0.51864		26041	26671	630	1	PF00398|PF01135|PF13649|PF13847	RiPP
GCF_011140545.1	contig_29	antiSMASH	Terpene-precursor		No	1	9069	9069	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024412535	contig_11	GECCO	Unknown	0.9947464206591342		25259	28488	3229	5	PF01041|PF06306	Unknown
GCA_040861085.1	contig_31	antiSMASH	Terpene-precursor		No	1	8333	8333	11	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014496695.1	contig_15	deepBGC		0.54003		1839	2943	1104	1	PF01501	NRPS_like
GCF_014496695.1	contig_3	deepBGC		0.75342		37845	46423	8578	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_003640145.1	contig_23	antiSMASH	Terpene-precursor		No	1	9747	9747	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_040862065.1	contig_11	deepBGC		0.5338		7055	7841	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040862065.1	contig_12	deepBGC		0.54414		11399	11933	534	1	PF05050	Unknown
GCA_040862065.1	contig_12	deepBGC	Polyketide	0.5931		16783	23063	6280	6	PF00106|PF00398|PF01073|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07993|PF08659|PF13489|PF13561|PF13649|PF13847|PF16363	RiPP
GCF_040821935.1	contig_9	antiSMASH	Terpene-precursor		No	1	38457	38457	45	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_037862475.1	contig_11	deepBGC	Saccharide	0.75429		37438	46018	8580	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_037862475.1	contig_25	deepBGC	Polyketide	0.56964		1431	4610	3179	3	PF00899|PF02661|PF05977|PF07690|PF12832	Unknown
GCF_037862475.1	contig_4	deepBGC		0.5173		18588	19083	495	1	PF00258|PF12641|PF12724	Unknown
GCF_037862475.1	contig_4	deepBGC		0.51341		129075	130068	993	1	PF00108|PF00195|PF07451|PF08541|PF08545	Unknown
GCF_036455175.1	contig_7	antiSMASH	Terpene-precursor		No	1	57544	57544	56	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014496385.1	contig_2	deepBGC		0.74848		37656	46227	8571	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014498305.1	contig_12	deepBGC	Saccharide	0.75335		37768	46333	8565	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_003639265.1	contig_15	deepBGC	Saccharide	0.71062		81960	93524	11564	10	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014498475.1	contig_18	deepBGC		0.57039		43871	48321	4450	3	PF01968|PF02538|PF05378	Unknown
GCF_014498475.1	contig_2	deepBGC		0.58374		3785	7535	3750	3	PF00133|PF01406|PF01588|PF08003|PF08241|PF08242|PF09334|PF13489|PF13649|PF13847	Unknown
GCF_021184145	contig_1	GECCO	Unknown	0.9947023405474016		1252044	1255758	3714	5	PF01041|PF06306	Unknown
GCF_040821155.1	contig_22	antiSMASH	Terpene-precursor		No	1	24784	24784	18	ATP-grasp|ATP-grasp_3|Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE|RimK	Terpene
GCF_014498645.1	contig_23	deepBGC	Saccharide	0.7803		38007	47068	9061	9	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF07927|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847|PF15919	Terpene
GCA_040861545.1	contig_25	antiSMASH	Terpene-precursor		No	1	8593	8593	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_036455265.1	contig_11	deepBGC		0.72665		37370	48882	11512	10	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_036455265.1	contig_7	deepBGC		0.5799		16811	23095	6284	6	PF00106|PF00398|PF01073|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07993|PF08659|PF13460|PF13489|PF13561|PF13649|PF13847|PF16363	RiPP
GCF_015904605.1	contig_16	deepBGC		0.53832		4141	4927	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_037861755.1	contig_2	antiSMASH	Terpene-precursor		No	1	113153	113153	106	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024412805.1	contig_2	antiSMASH	Terpene-precursor		No	1	60201	60201	57	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014497635	contig_1	GECCO	Unknown	0.9946194703172468		5617	8806	3189	5	PF01041|PF06306	Unknown
GCF_040821195.1	contig_73	antiSMASH	Terpene-precursor		No	1	7992	7992	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011141145.1	contig_24	deepBGC		0.66427		105	22860	22755	23	PF00106|PF00107|PF00266|PF00268|PF00289|PF00398|PF00479|PF00515|PF00920|PF01041|PF01053|PF01073|PF01081|PF01135|PF01182|PF01262|PF01370|PF01416|PF01501|PF02222|PF02655|PF02685|PF02719|PF02781|PF02785|PF02786|PF02826|PF03446|PF03739|PF04321|PF05050|PF07478|PF07719|PF07993|PF08238|PF08240|PF08443|PF08659|PF13460|PF13489|PF13549|PF13561|PF13649|PF13847|PF14397|PF15632|PF16363	NRPS_like|RiPP
GCF_011141145.1	contig_7	deepBGC	Saccharide	0.67624		37695	46765	9070	8	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847|PF15919	Terpene
GCF_011141145.1	contig_7	deepBGC		0.51562		51165	52900	1735	2	PF03235|PF07510	Unknown
GCF_040821265.1	contig_103	deepBGC	Polyketide	0.53283		56	1388	1332	1	PF00083|PF05977|PF07690|PF13347	Unknown
GCF_040821265.1	contig_105	deepBGC		0.60422		187	4736	4549	5	PF01075|PF03070|PF03767|PF04264|PF04973|PF13344|PF13419	Unknown
GCF_040821265.1	contig_13	deepBGC		0.54283		1684	2437	753	1	PF00106|PF08659|PF13561	Unknown
GCF_040821265.1	contig_31	deepBGC		0.53004		10443	11229	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_040821265.1	contig_40	deepBGC		0.51591		8305	10603	2298	1	PF02538	Unknown
GCF_040821265.1	contig_6	deepBGC		0.5428		750	2148	1398	1	PF02521	Unknown
GCF_040821265.1	contig_67	deepBGC		0.51224		6884	8180	1296	1	PF01501	NRPS_like
GCF_040821265.1	contig_90	deepBGC		0.82819		903	6823	5920	6	PF00155|PF00266|PF00268|PF00398|PF01041|PF01073|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07993|PF08659|PF13460|PF13649|PF13847|PF16363	RiPP
GCF_011140735.1	contig_4	antiSMASH	Terpene-precursor		No	1	8110	8110	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024407575.1	contig_37	antiSMASH	Terpene-precursor		No	1	67562	67562	72	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Pkinase|QueE	Terpene
GCA_040861185.1	contig_9	deepBGC		0.60086		3651	7395	3744	3	PF00133|PF01406|PF01588|PF08003|PF08241|PF08242|PF09334|PF13489|PF13649|PF13847	Unknown
GCA_024411935.1	contig_22	antiSMASH	Terpene-precursor		No	1	10589	10589	14	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639425.1	contig_16	antiSMASH	Terpene-precursor		Yes	49081	69992	20912	19	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639665.1	contig_3	deepBGC		0.72291		37770	46823	9053	9	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF07927|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847|PF15919	Terpene
GCA_040862455.1	contig_10	deepBGC		0.64386		16669	24293	7624	7	PF00106|PF00398|PF01073|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07719|PF07993|PF08238|PF08659|PF13460|PF13489|PF13561|PF13649|PF13847|PF16363	RiPP
GCA_040862455.1	contig_10	deepBGC		0.50245		25005	26832	1827	1	PF00920	Unknown
GCA_040862455.1	contig_10	deepBGC	NRP	0.51862		30026	31073	1047	1	PF00107|PF01262|PF02826|PF03446|PF08240	NRPS_like
GCA_040862455.1	contig_17	deepBGC		0.62082		3666	4452	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_037862315.1	contig_12	deepBGC		0.68605		37733	44452	6719	6	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014497655.1	contig_15	deepBGC		0.53186		398	2246	1848	1	PF02784	Unknown
GCF_014497655.1	contig_15	deepBGC	Other	0.63902		3879	8967	5088	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_040820825.1	contig_69	antiSMASH	Terpene-precursor		No	1	8121	8121	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024405965.1	contig_3	deepBGC	Saccharide	0.66394		37433	44157	6724	6	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847|PF15458	Terpene
GCF_011141135.1	contig_11	deepBGC		0.74183		37594	49236	11642	9	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_015905165.1	contig_13	deepBGC		0.73944		37742	49392	11650	10	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_015905165.1	contig_36	deepBGC	Polyketide	0.5174		63	285	222	1	PF07690	Unknown
GCF_015905165.1	contig_44	deepBGC		0.59902		1504	4587	3083	6	PF00871|PF01455|PF01924|PF02492|PF07883	Unknown
GCF_011175315.1	contig_4	antiSMASH	Terpene-precursor		No	1	8228	8228	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024412715.1	contig_17	deepBGC		0.5406		4140	4926	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040862265.1	contig_8	deepBGC		0.61735		1598	8533	6935	10	PF00924|PF01636|PF07714|PF08433|PF09002|PF13238|PF13671|PF13672	Unknown
GCA_040862265.1	contig_9	deepBGC		0.75595		79597	88188	8591	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_024412355.1	contig_2	deepBGC		0.69598		37767	46347	8580	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_024412355.1	contig_2	deepBGC		0.57922		50741	52475	1734	2	PF03235|PF07510	Unknown
GCA_024412355.1	contig_5	deepBGC		0.51797		33736	34036	300	1	PF07883	Unknown
GCA_024406595.1	contig_19	antiSMASH	Terpene-precursor		No	1	77488	77488	86	Fer4_12|GTP_cyclohydroI|Glyco_transf_9|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011141045.1	contig_1	deepBGC		0.52255		475	1740	1265	5	PF00092|PF13519|PF13672	Unknown
GCF_011141045.1	contig_21	deepBGC		0.53037		42037	43248	1211	3	PF00106|PF00550|PF08659|PF10501|PF13561|PF14573|PF16320	PKS
GCF_011141045.1	contig_6	deepBGC		0.5879		8249	8879	630	1	PF00398|PF01135|PF13489|PF13649|PF13847	RiPP
GCF_011141045.1	contig_6	deepBGC	Polyketide	0.56419		13949	14702	753	1	PF00106|PF01370|PF08659|PF13561	Unknown
GCA_024406735.1	contig_14	antiSMASH	Terpene-precursor		No	1	59864	59864	61	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024406675.1	contig_3	antiSMASH	Terpene-precursor		No	1	76919	76919	85	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Pkinase|QueE	Terpene
GCF_015905005.1	contig_10	deepBGC		0.54786		10215	11001	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCF_011140535.1	contig_10	antiSMASH	Terpene-precursor		No	1	10204	10204	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_030062565.1	contig_1	deepBGC		0.52679		640602	641346	744	1	PF00106|PF08659|PF13561	Unknown
GCF_030062565.1	contig_1	deepBGC		0.68089		1200354	1205431	5077	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_030062565.1	contig_1	deepBGC		0.71702		1319732	1320266	534	1	PF05050	Unknown
GCF_030062565.1	contig_1	deepBGC		0.73396		1325124	1335186	10062	9	PF00106|PF00398|PF00920|PF01073|PF01081|PF01135|PF01370|PF01416|PF02719|PF03739|PF04321|PF07719|PF07993|PF08238|PF08659|PF13460|PF13489|PF13561|PF13649|PF13847|PF16363	RiPP
GCF_030062565.1	contig_1	deepBGC	NRP	0.57741		1338380	1339427	1047	1	PF00107|PF01262|PF02826|PF03446|PF08240	NRPS_like
GCF_011140875.1	contig_19	deepBGC		0.59905		3587	4373	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040861125.1	contig_6	antiSMASH	Terpene-precursor		No	1	61803	61803	66	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Peptidase_M50|QueE	Terpene
GCF_001998125.1	contig_9	antiSMASH	Terpene-precursor		No	1	8150	8150	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024406575.1	contig_19	deepBGC		0.51719		504	945	441	1	PF01531	Unknown
GCA_024406575.1	contig_22	deepBGC		0.73369		1	14289	14288	12	PF00278|PF00425|PF00496|PF00528|PF00669|PF00795|PF00829|PF01016|PF01063|PF01817|PF02784|PF03797|PF06237|PF09924|PF12911	Unknown
GCA_024406575.1	contig_48	deepBGC		0.57192		47	4569	4522	3	PF00873|PF02321|PF03176|PF13437|PF13533|PF16576	Unknown
GCA_024406575.1	contig_56	deepBGC	Other	0.75151		24649	29731	5082	4	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCA_024406485.1	contig_6	antiSMASH	Terpene-precursor		No	1	45358	45358	51	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639795.1	contig_16	antiSMASH	Terpene-precursor		No	1	58342	58342	55	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|Peptidase_M50|QueE	Terpene
GCF_040820975.1	contig_1	deepBGC		0.68543		37676	44382	6706	6	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_040820975.1	contig_13	deepBGC		0.59134		6868	7633	765	1	PF02668	Unknown
GCF_040820975.1	contig_49	deepBGC		0.5428		343	1741	1398	1	PF02521	Unknown
GCF_040820975.1	contig_52	deepBGC		0.55051		63238	64985	1747	5	PF00092|PF13519|PF13672	Unknown
GCF_014498165.1	contig_18	antiSMASH	Terpene-precursor		No	1	74736	74736	85	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014497035.1	contig_2	deepBGC	RiPP	0.52212		16783	17413	630	1	PF00398|PF01135|PF13649|PF13847	RiPP
GCF_014497035.1	contig_21	deepBGC		0.56428		640	2488	1848	1	PF02784	Unknown
GCF_014497035.1	contig_21	deepBGC	Other	0.66293		4121	9209	5088	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_030062665.1	contig_1	deepBGC	Other	0.61928		1430028	1433283	3255	2	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_014498745.1	contig_15	antiSMASH	Terpene-precursor		No	1	79387	79387	78	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_011140995.1	contig_28	deepBGC		0.6171		4602	5388	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
GCA_040861455.1	contig_14	deepBGC		0.52025		33239	33539	300	1	PF07883	Unknown
GCA_040861455.1	contig_28	deepBGC		0.71282		1105	3354	2249	7	PF01163|PF01636|PF13519|PF13672	Unknown
GCA_040861455.1	contig_5	deepBGC		0.68127		82321	90892	8571	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_040861455.1	contig_5	deepBGC		0.5761		95269	97011	1742	3	PF03235|PF07510	Unknown
GCA_024406345.1	contig_8	antiSMASH	Terpene-precursor		No	1	8140	8140	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_014497445	contig_1	GECCO	Unknown	0.9947564058294784		102945	106134	3189	5	PF01041|PF06306	Unknown
GCF_014497585.1	contig_7	antiSMASH	Terpene-precursor		No	1	9427	9427	13	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_040821135	contig_33	GECCO	Unknown	0.9264250662960616		94471	99522	5051	6	PF01041|PF06306	Unknown
GCF_015904745.1	contig_25	antiSMASH	Terpene-precursor		No	1	8123	8123	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_003639215.1	contig_19	deepBGC		0.74783		38776	47342	8566	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_003639215.1	contig_5	deepBGC		0.54849		14913	15543	630	1	PF00398|PF01135|PF13489|PF13649|PF13847	RiPP
GCF_003640145.1	contig_15	deepBGC	Polyketide	0.60887		2	12972	12970	11	PF00106|PF00107|PF00479|PF00515|PF00920|PF01073|PF01081|PF01182|PF01262|PF01370|PF01501|PF02685|PF02719|PF02781|PF02826|PF03446|PF04321|PF07719|PF07993|PF08238|PF08240|PF08659|PF13460|PF13561|PF16363	NRPS_like
GCF_003640145.1	contig_15	deepBGC		0.61974		14742	20774	6032	8	PF00155|PF00266|PF00268|PF00398|PF01041|PF01135|PF05050|PF13649|PF13847	RiPP
GCF_003640145.1	contig_29	deepBGC	Other	0.59714		38187	43287	5100	4	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_014497785.1	contig_3	deepBGC		0.53444		818	2666	1848	1	PF02784	Unknown
GCF_014497785.1	contig_3	deepBGC	Other	0.64609		4299	9404	5105	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_015904535.1	contig_13	deepBGC		0.53288		454	2302	1848	1	PF02784	Unknown
GCF_015904535.1	contig_13	deepBGC	Other	0.64119		3935	9021	5086	4	PF00133|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_015904535.1	contig_28	deepBGC		0.53083		2150	3254	1104	1	PF01501	NRPS_like
GCF_014498085.1	contig_2	deepBGC	Saccharide	0.73595		37857	49497	11640	9	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_014498085.1	contig_5	deepBGC		0.53523		41920	42220	300	1	PF07883	Unknown
GCA_040861765.1	contig_10	antiSMASH	Terpene-precursor		No	1	57736	57736	59	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCF_015904745.1	contig_17	deepBGC		0.50856		33889	34189	300	1	PF07883	Unknown
