bgc_id	sample_id	contig_id	Prediction_tool	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_count	backbone_class	gcf_id	dbscan_label
GCF_014497635__contig_1	GCF_014497635	contig_1	GECCO	Unknown	0.9946194703172468		5617	8806	3189	5	Unknown	GCF_0002	1
GCF_040821195.1__contig_73	GCF_040821195.1	contig_73	antiSMASH	Terpene-precursor		No	1	7992	7992	12	Terpene	GCF_0001	0
GCF_011141145.1__contig_24	GCF_011141145.1	contig_24	deepBGC		0.66427		105	22860	22755	23	NRPS_like|RiPP	singleton	-1
GCF_011141145.1__contig_7	GCF_011141145.1	contig_7	deepBGC	Saccharide	0.67624		37695	46765	9070	8	Terpene	singleton	-1
GCF_011141145.1__contig_7	GCF_011141145.1	contig_7	deepBGC		0.51562		51165	52900	1735	2	Unknown	GCF_0004	3
GCF_040821265.1__contig_103	GCF_040821265.1	contig_103	deepBGC	Polyketide	0.53283		56	1388	1332	1	Unknown	GCF_0012	11
GCF_040821265.1__contig_105	GCF_040821265.1	contig_105	deepBGC		0.60422		187	4736	4549	5	Unknown	singleton	-1
GCF_040821265.1__contig_13	GCF_040821265.1	contig_13	deepBGC		0.54283		1684	2437	753	1	Unknown	GCF_0001	0
GCF_040821265.1__contig_31	GCF_040821265.1	contig_31	deepBGC		0.53004		10443	11229	786	1	Unknown	GCF_0001	0
GCF_040821265.1__contig_40	GCF_040821265.1	contig_40	deepBGC		0.51591		8305	10603	2298	1	Unknown	GCF_0013	12
GCF_040821265.1__contig_6	GCF_040821265.1	contig_6	deepBGC		0.5428		750	2148	1398	1	Unknown	GCF_0014	13
GCF_040821265.1__contig_67	GCF_040821265.1	contig_67	deepBGC		0.51224		6884	8180	1296	1	NRPS_like	GCF_0001	0
GCF_040821265.1__contig_90	GCF_040821265.1	contig_90	deepBGC		0.82819		903	6823	5920	6	RiPP	singleton	-1
GCF_011140735.1__contig_4	GCF_011140735.1	contig_4	antiSMASH	Terpene-precursor		No	1	8110	8110	12	Terpene	GCF_0001	0
GCA_024407575.1__contig_37	GCA_024407575.1	contig_37	antiSMASH	Terpene-precursor		No	1	67562	67562	72	Terpene	GCF_0015	14
GCA_040861185.1__contig_9	GCA_040861185.1	contig_9	deepBGC		0.60086		3651	7395	3744	3	Unknown	GCF_0001	0
GCA_024411935.1__contig_22	GCA_024411935.1	contig_22	antiSMASH	Terpene-precursor		No	1	10589	10589	14	Terpene	GCF_0001	0
GCF_003639425.1__contig_16	GCF_003639425.1	contig_16	antiSMASH	Terpene-precursor		Yes	49081	69992	20912	19	Terpene	GCF_0001	0
GCF_003639665.1__contig_3	GCF_003639665.1	contig_3	deepBGC		0.72291		37770	46823	9053	9	Terpene	GCF_0016	15
GCA_040862455.1__contig_10	GCA_040862455.1	contig_10	deepBGC		0.64386		16669	24293	7624	7	RiPP	singleton	-1
GCA_040862455.1__contig_10	GCA_040862455.1	contig_10	deepBGC		0.50245		25005	26832	1827	1	Unknown	singleton	-1
GCA_040862455.1__contig_10	GCA_040862455.1	contig_10	deepBGC	NRP	0.51862		30026	31073	1047	1	NRPS_like	GCF_0001	0
GCA_040862455.1__contig_17	GCA_040862455.1	contig_17	deepBGC		0.62082		3666	4452	786	1	Unknown	GCF_0001	0
GCF_037862315.1__contig_12	GCF_037862315.1	contig_12	deepBGC		0.68605		37733	44452	6719	6	Terpene	GCF_0017	16
GCF_014497655.1__contig_15	GCF_014497655.1	contig_15	deepBGC		0.53186		398	2246	1848	1	Unknown	singleton	-1
GCF_014497655.1__contig_15	GCF_014497655.1	contig_15	deepBGC	Other	0.63902		3879	8967	5088	4	Terpene	GCF_0001	0
GCF_040820825.1__contig_69	GCF_040820825.1	contig_69	antiSMASH	Terpene-precursor		No	1	8121	8121	12	Terpene	GCF_0001	0
GCA_024405965.1__contig_3	GCA_024405965.1	contig_3	deepBGC	Saccharide	0.66394		37433	44157	6724	6	Terpene	GCF_0018	17
GCF_011141135.1__contig_11	GCF_011141135.1	contig_11	deepBGC		0.74183		37594	49236	11642	9	Terpene	GCF_0019	18
GCF_015905165.1__contig_13	GCF_015905165.1	contig_13	deepBGC		0.73944		37742	49392	11650	10	Terpene	GCF_0019	18
GCF_015905165.1__contig_36	GCF_015905165.1	contig_36	deepBGC	Polyketide	0.5174		63	285	222	1	Unknown	GCF_0020	19
GCF_015905165.1__contig_44	GCF_015905165.1	contig_44	deepBGC		0.59902		1504	4587	3083	6	Unknown	GCF_0021	20
GCF_011175315.1__contig_4	GCF_011175315.1	contig_4	antiSMASH	Terpene-precursor		No	1	8228	8228	12	Terpene	GCF_0001	0
GCA_024412715.1__contig_17	GCA_024412715.1	contig_17	deepBGC		0.5406		4140	4926	786	1	Unknown	GCF_0001	0
GCA_040862265.1__contig_8	GCA_040862265.1	contig_8	deepBGC		0.61735		1598	8533	6935	10	Unknown	singleton	-1
GCA_040862265.1__contig_9	GCA_040862265.1	contig_9	deepBGC		0.75595		79597	88188	8591	7	Terpene	GCF_0001	0
GCA_024412355.1__contig_2	GCA_024412355.1	contig_2	deepBGC		0.69598		37767	46347	8580	7	Terpene	singleton	-1
GCA_024412355.1__contig_2	GCA_024412355.1	contig_2	deepBGC		0.57922		50741	52475	1734	2	Unknown	GCF_0004	3
GCA_024412355.1__contig_5	GCA_024412355.1	contig_5	deepBGC		0.51797		33736	34036	300	1	Unknown	GCF_0001	0
GCA_024406595.1__contig_19	GCA_024406595.1	contig_19	antiSMASH	Terpene-precursor		No	1	77488	77488	86	Terpene	GCF_0001	0
GCF_011141045.1__contig_1	GCF_011141045.1	contig_1	deepBGC		0.52255		475	1740	1265	5	Unknown	GCF_0001	0
GCF_011141045.1__contig_21	GCF_011141045.1	contig_21	deepBGC		0.53037		42037	43248	1211	3	PKS	GCF_0022	21
GCF_011141045.1__contig_6	GCF_011141045.1	contig_6	deepBGC		0.5879		8249	8879	630	1	RiPP	singleton	-1
GCF_011141045.1__contig_6	GCF_011141045.1	contig_6	deepBGC	Polyketide	0.56419		13949	14702	753	1	Unknown	GCF_0001	0
GCA_024406735.1__contig_14	GCA_024406735.1	contig_14	antiSMASH	Terpene-precursor		No	1	59864	59864	61	Terpene	GCF_0001	0
GCA_024406675.1__contig_3	GCA_024406675.1	contig_3	antiSMASH	Terpene-precursor		No	1	76919	76919	85	Terpene	GCF_0015	14
GCF_015905005.1__contig_10	GCF_015905005.1	contig_10	deepBGC		0.54786		10215	11001	786	1	Unknown	GCF_0001	0
GCF_011140535.1__contig_10	GCF_011140535.1	contig_10	antiSMASH	Terpene-precursor		No	1	10204	10204	13	Terpene	GCF_0001	0
GCF_030062565.1__contig_1	GCF_030062565.1	contig_1	deepBGC		0.52679		640602	641346	744	1	Unknown	singleton	-1
GCF_030062565.1__contig_1	GCF_030062565.1	contig_1	deepBGC		0.68089		1200354	1205431	5077	4	Terpene	singleton	-1
GCF_030062565.1__contig_1	GCF_030062565.1	contig_1	deepBGC		0.71702		1319732	1320266	534	1	Unknown	singleton	-1
GCF_030062565.1__contig_1	GCF_030062565.1	contig_1	deepBGC		0.73396		1325124	1335186	10062	9	RiPP	singleton	-1
GCF_030062565.1__contig_1	GCF_030062565.1	contig_1	deepBGC	NRP	0.57741		1338380	1339427	1047	1	NRPS_like	singleton	-1
GCF_011140875.1__contig_19	GCF_011140875.1	contig_19	deepBGC		0.59905		3587	4373	786	1	Unknown	GCF_0001	0
GCA_040861125.1__contig_6	GCA_040861125.1	contig_6	antiSMASH	Terpene-precursor		No	1	61803	61803	66	Terpene	GCF_0023	22
GCF_001998125.1__contig_9	GCF_001998125.1	contig_9	antiSMASH	Terpene-precursor		No	1	8150	8150	12	Terpene	GCF_0001	0
GCA_024406575.1__contig_19	GCA_024406575.1	contig_19	deepBGC		0.51719		504	945	441	1	Unknown	GCF_0001	0
GCA_024406575.1__contig_22	GCA_024406575.1	contig_22	deepBGC		0.73369		1	14289	14288	12	Unknown	singleton	-1
GCA_024406575.1__contig_48	GCA_024406575.1	contig_48	deepBGC		0.57192		47	4569	4522	3	Unknown	singleton	-1
GCA_024406575.1__contig_56	GCA_024406575.1	contig_56	deepBGC	Other	0.75151		24649	29731	5082	4	Terpene	GCF_0001	0
GCA_024406485.1__contig_6	GCA_024406485.1	contig_6	antiSMASH	Terpene-precursor		No	1	45358	45358	51	Terpene	GCF_0001	0
GCF_003639795.1__contig_16	GCF_003639795.1	contig_16	antiSMASH	Terpene-precursor		No	1	58342	58342	55	Terpene	GCF_0023	22
GCF_040820975.1__contig_1	GCF_040820975.1	contig_1	deepBGC		0.68543		37676	44382	6706	6	Terpene	GCF_0017	16
GCF_040820975.1__contig_13	GCF_040820975.1	contig_13	deepBGC		0.59134		6868	7633	765	1	Unknown	GCF_0001	0
GCF_040820975.1__contig_49	GCF_040820975.1	contig_49	deepBGC		0.5428		343	1741	1398	1	Unknown	GCF_0014	13
GCF_040820975.1__contig_52	GCF_040820975.1	contig_52	deepBGC		0.55051		63238	64985	1747	5	Unknown	singleton	-1
GCF_014498165.1__contig_18	GCF_014498165.1	contig_18	antiSMASH	Terpene-precursor		No	1	74736	74736	85	Terpene	singleton	-1
GCF_014497035.1__contig_2	GCF_014497035.1	contig_2	deepBGC	RiPP	0.52212		16783	17413	630	1	RiPP	GCF_0001	0
GCF_014497035.1__contig_21	GCF_014497035.1	contig_21	deepBGC		0.56428		640	2488	1848	1	Unknown	singleton	-1
GCF_014497035.1__contig_21	GCF_014497035.1	contig_21	deepBGC	Other	0.66293		4121	9209	5088	4	Terpene	GCF_0001	0
GCF_030062665.1__contig_1	GCF_030062665.1	contig_1	deepBGC	Other	0.61928		1430028	1433283	3255	2	Terpene	singleton	-1
GCF_014498745.1__contig_15	GCF_014498745.1	contig_15	antiSMASH	Terpene-precursor		No	1	79387	79387	78	Terpene	GCF_0001	0
GCF_011140995.1__contig_28	GCF_011140995.1	contig_28	deepBGC		0.6171		4602	5388	786	1	Unknown	GCF_0001	0
GCA_040861455.1__contig_14	GCA_040861455.1	contig_14	deepBGC		0.52025		33239	33539	300	1	Unknown	GCF_0001	0
GCA_040861455.1__contig_28	GCA_040861455.1	contig_28	deepBGC		0.71282		1105	3354	2249	7	Unknown	singleton	-1
GCA_040861455.1__contig_5	GCA_040861455.1	contig_5	deepBGC		0.68127		82321	90892	8571	7	Terpene	singleton	-1
GCA_040861455.1__contig_5	GCA_040861455.1	contig_5	deepBGC		0.5761		95269	97011	1742	3	Unknown	GCF_0004	3
GCA_024406345.1__contig_8	GCA_024406345.1	contig_8	antiSMASH	Terpene-precursor		No	1	8140	8140	12	Terpene	GCF_0001	0
GCF_014497445__contig_1	GCF_014497445	contig_1	GECCO	Unknown	0.9947564058294784		102945	106134	3189	5	Unknown	GCF_0002	1
GCF_014497585.1__contig_7	GCF_014497585.1	contig_7	antiSMASH	Terpene-precursor		No	1	9427	9427	13	Terpene	GCF_0001	0
GCF_040821135__contig_33	GCF_040821135	contig_33	GECCO	Unknown	0.9264250662960616		94471	99522	5051	6	Unknown	GCF_0002	1
GCF_015904745.1__contig_25	GCF_015904745.1	contig_25	antiSMASH	Terpene-precursor		No	1	8123	8123	12	Terpene	GCF_0001	0
GCF_003639215.1__contig_19	GCF_003639215.1	contig_19	deepBGC		0.74783		38776	47342	8566	7	Terpene	GCF_0004	3
GCF_003639215.1__contig_5	GCF_003639215.1	contig_5	deepBGC		0.54849		14913	15543	630	1	RiPP	GCF_0001	0
GCF_003640145.1__contig_15	GCF_003640145.1	contig_15	deepBGC	Polyketide	0.60887		2	12972	12970	11	NRPS_like	singleton	-1
GCF_003640145.1__contig_15	GCF_003640145.1	contig_15	deepBGC		0.61974		14742	20774	6032	8	RiPP	singleton	-1
GCF_003640145.1__contig_29	GCF_003640145.1	contig_29	deepBGC	Other	0.59714		38187	43287	5100	4	Terpene	GCF_0001	0
GCF_014497785.1__contig_3	GCF_014497785.1	contig_3	deepBGC		0.53444		818	2666	1848	1	Unknown	singleton	-1
GCF_014497785.1__contig_3	GCF_014497785.1	contig_3	deepBGC	Other	0.64609		4299	9404	5105	4	Terpene	GCF_0001	0
GCF_015904535.1__contig_13	GCF_015904535.1	contig_13	deepBGC		0.53288		454	2302	1848	1	Unknown	singleton	-1
GCF_015904535.1__contig_13	GCF_015904535.1	contig_13	deepBGC	Other	0.64119		3935	9021	5086	4	Terpene	GCF_0001	0
GCF_015904535.1__contig_28	GCF_015904535.1	contig_28	deepBGC		0.53083		2150	3254	1104	1	NRPS_like	GCF_0001	0
GCF_014498085.1__contig_2	GCF_014498085.1	contig_2	deepBGC	Saccharide	0.73595		37857	49497	11640	9	Terpene	GCF_0001	0
GCF_014498085.1__contig_5	GCF_014498085.1	contig_5	deepBGC		0.53523		41920	42220	300	1	Unknown	singleton	-1
GCA_040861765.1__contig_10	GCA_040861765.1	contig_10	antiSMASH	Terpene-precursor		No	1	57736	57736	59	Terpene	GCF_0001	0
GCF_015904745.1__contig_17	GCF_015904745.1	contig_17	deepBGC		0.50856		33889	34189	300	1	Unknown	GCF_0001	0
GCF_015904745.1__contig_6	GCF_015904745.1	contig_6	deepBGC		0.76171		83895	95557	11662	9	Terpene	GCF_0024	23
GCF_035621295.1__contig_1	GCF_035621295.1	contig_1	antiSMASH	Terpene-precursor		No	1	1581974	1581974	1509	Terpene	singleton	-1
GCF_011105795.1__contig_22	GCF_011105795.1	contig_22	antiSMASH	Terpene-precursor		No	1	11261	11261	13	Terpene	GCF_0001	0
GCF_003382545.1__contig_15	GCF_003382545.1	contig_15	deepBGC	Other	0.7124		68787	73875	5088	4	Terpene	GCF_0001	0
GCF_014497035.1__contig_10	GCF_014497035.1	contig_10	antiSMASH	Terpene-precursor		No	1	8213	8213	12	Terpene	GCF_0001	0
GCF_003639525.1__contig_17	GCF_003639525.1	contig_17	antiSMASH	Terpene-precursor		No	1	11041	11041	15	Terpene	GCF_0001	0
GCF_040821675.1__contig_25	GCF_040821675.1	contig_25	deepBGC		0.50942		1050	2898	1848	1	Unknown	singleton	-1
GCF_040821675.1__contig_25	GCF_040821675.1	contig_25	deepBGC		0.5626		4535	8297	3762	3	Unknown	GCF_0001	0
GCF_040821675.1__contig_27	GCF_040821675.1	contig_27	deepBGC		0.53234		2886	3516	630	1	RiPP	GCF_0001	0
GCF_040821675.1__contig_3	GCF_040821675.1	contig_3	deepBGC		0.50363		1709	2453	744	1	Unknown	GCF_0001	0
GCF_040821675.1__contig_59	GCF_040821675.1	contig_59	deepBGC		0.56798		1070	4188	3118	4	Unknown	singleton	-1
GCF_040821675.1__contig_59	GCF_040821675.1	contig_59	deepBGC		0.51815		4669	5086	417	1	Unknown	GCF_0025	24
GCA_040861525.1__contig_10	GCA_040861525.1	contig_10	deepBGC	Saccharide	0.74951		37535	46114	8579	7	Terpene	GCF_0004	3
GCA_040861525.1__contig_11	GCA_040861525.1	contig_11	deepBGC		0.53555		16291	16921	630	1	RiPP	GCF_0001	0
GCA_040861525.1__contig_12	GCA_040861525.1	contig_12	deepBGC		0.50622		4516	4816	300	1	Unknown	GCF_0001	0
GCF_040821605.1__contig_14	GCF_040821605.1	contig_14	deepBGC		0.50395		22723	23716	993	1	Unknown	GCF_0001	0
GCF_040821605.1__contig_20	GCF_040821605.1	contig_20	deepBGC	RiPP	0.55609		15589	16219	630	1	RiPP	GCF_0001	0
GCF_040821605.1__contig_64	GCF_040821605.1	contig_64	deepBGC		0.5428		84	1671	1587	1	Unknown	GCF_0014	13
GCF_040821605.1__contig_70	GCF_040821605.1	contig_70	deepBGC		0.52462		9689	10475	786	1	Unknown	GCF_0001	0
GCF_036455215.1__contig_6	GCF_036455215.1	contig_6	deepBGC		0.52328		47031	47784	753	1	Unknown	singleton	-1
GCF_036455215.1__contig_6	GCF_036455215.1	contig_6	deepBGC		0.60238		52685	54350	1665	2	RiPP	singleton	-1
GCF_036455215.1__contig_6	GCF_036455215.1	contig_6	deepBGC		0.5027		58157	58661	504	1	Unknown	GCF_0001	0
GCF_036455215.1__contig_9	GCF_036455215.1	contig_9	deepBGC		0.58064		7777	11545	3768	3	Unknown	GCF_0001	0
GCF_001998245.1__contig_12	GCF_001998245.1	contig_12	deepBGC		0.50945		7277	8075	798	1	Unknown	GCF_0001	0
GCF_001998245.1__contig_13	GCF_001998245.1	contig_13	deepBGC		0.56868		11261	11795	534	1	Unknown	singleton	-1
GCF_001998245.1__contig_13	GCF_001998245.1	contig_13	deepBGC	RiPP	0.6286		16652	17282	630	1	RiPP	singleton	-1
GCF_001998245.1__contig_13	GCF_001998245.1	contig_13	deepBGC	Polyketide	0.59746		19063	23225	4162	3	Unknown	singleton	-1
GCF_001998245.1__contig_13	GCF_001998245.1	contig_13	deepBGC		0.53074		31105	31822	717	1	NRPS_like	GCF_0001	0
GCF_001998125.1__contig_13	GCF_001998125.1	contig_13	deepBGC	Saccharide	0.82041		37844	46425	8581	7	Terpene	GCF_0026	25
GCF_003639785.1__contig_3	GCF_003639785.1	contig_3	deepBGC		0.67962		37816	44525	6709	6	Terpene	singleton	-1
GCF_030062605.1__contig_1	GCF_030062605.1	contig_1	antiSMASH	Terpene-precursor		Yes	898231	919142	20912	23	Terpene	GCF_0001	0
GCF_011140915.1__contig_26	GCF_011140915.1	contig_26	deepBGC	Saccharide	0.77217		38654	47687	9033	9	Terpene	singleton	-1
GCA_024407135.1__contig_18	GCA_024407135.1	contig_18	antiSMASH	Terpene-precursor		No	1	7946	7946	11	Terpene	GCF_0001	0
GCF_011140935.1__contig_10	GCF_011140935.1	contig_10	antiSMASH	Terpene-precursor		No	1	11134	11134	13	Terpene	GCF_0001	0
GCA_024409295.1__contig_36	GCA_024409295.1	contig_36	antiSMASH	Terpene-precursor		No	1	7908	7908	11	Terpene	GCF_0001	0
GCA_040861445__contig_1	GCA_040861445	contig_1	GECCO	Unknown	0.9945292209815711		390692	394338	3646	5	Unknown	GCF_0002	1
GCF_040821565.1__contig_33	GCF_040821565.1	contig_33	antiSMASH	Terpene-precursor		No	1	116856	116856	109	Terpene	singleton	-1
GCF_011140425.1__contig_18	GCF_011140425.1	contig_18	antiSMASH	Terpene-precursor		No	1	11081	11081	13	Terpene	GCF_0001	0
GCF_040821815.1__contig_32	GCF_040821815.1	contig_32	antiSMASH	Terpene-precursor		No	1	6819	6819	10	Terpene	GCF_0001	0
GCA_024407505.1__contig_29	GCA_024407505.1	contig_29	antiSMASH	Terpene-precursor		No	1	56628	56628	55	Terpene	GCF_0001	0
GCA_040862345.1__contig_16	GCA_040862345.1	contig_16	deepBGC		0.72394		37617	46663	9046	9	Terpene	GCF_0016	15
GCF_003639995.1__contig_14	GCF_003639995.1	contig_14	deepBGC		0.6357		16910	22442	5532	8	Unknown	singleton	-1
GCF_003639995.1__contig_5	GCF_003639995.1	contig_5	deepBGC	Saccharide	0.75308		37708	46276	8568	7	Terpene	GCF_0027	26
GCF_003639995.1__contig_8	GCF_003639995.1	contig_8	deepBGC		0.57403		4811	5111	300	1	Unknown	GCF_0001	0
GCF_001998205.1__contig_1	GCF_001998205.1	contig_1	deepBGC		0.57342		43257	44454	1197	2	Unknown	GCF_0001	0
GCF_001998205.1__contig_13	GCF_001998205.1	contig_13	deepBGC	Other	0.72159		37777	42910	5133	4	Terpene	GCF_0001	0
GCF_001998205.1__contig_27	GCF_001998205.1	contig_27	deepBGC	RiPP	0.57901		27556	28186	630	1	RiPP	GCF_0001	0
GCF_015905125.1__contig_11	GCF_015905125.1	contig_11	deepBGC	Saccharide	0.76018		38351	46920	8569	7	Terpene	GCF_0027	26
GCA_040861585.1__contig_1	GCA_040861585.1	contig_1	antiSMASH	Terpene-precursor		No	1	65833	65833	69	Terpene	GCF_0015	14
GCF_040821475.1__contig_70	GCF_040821475.1	contig_70	antiSMASH	Terpene-precursor		No	1	58851	58851	61	Terpene	GCF_0001	0
GCF_002983705.1__contig_1	GCF_002983705.1	contig_1	deepBGC	Other	0.55228		132022	133192	1170	1	Terpene	singleton	-1
GCF_014496705.1__contig_22	GCF_014496705.1	contig_22	antiSMASH	Terpene-precursor		No	1	46753	46753	51	Terpene	GCF_0001	0
GCF_015904645.1__contig_16	GCF_015904645.1	contig_16	deepBGC		0.50686		5018	5318	300	1	Unknown	GCF_0001	0
GCF_015904645.1__contig_6	GCF_015904645.1	contig_6	deepBGC		0.76171		83896	95558	11662	9	Terpene	GCF_0024	23
GCA_024409255.1__contig_15	GCA_024409255.1	contig_15	deepBGC	Saccharide	0.66292		37418	44124	6706	6	Terpene	GCF_0018	17
GCA_024409255.1__contig_6	GCA_024409255.1	contig_6	deepBGC	RiPP	0.53949		29553	30183	630	1	RiPP	GCF_0001	0
